"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Header/commandn.hpp", "C++", 20, 0, 8, 8, 36
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Header/commands.hpp", "C++", 19, 0, 8, 8, 35
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Header/log4me.hpp", "C++", 11, 0, 7, 6, 24
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Header/welcome.hpp", "C++", 8, 0, 6, 6, 20
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Source/commandn.cpp", "C++", 156, 0, 10, 7, 173
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Source/commands.cpp", "C++", 249, 0, 21, 8, 278
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Source/log4me.cpp", "C++", 43, 0, 12, 8, 63
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Source/main.cpp", "C++", 93, 0, 21, 14, 128
"/Users/rainchen/CodingSpace/Pineapple/Library-cli/src/Source/welcome.cpp", "C++", 15, 0, 6, 4, 25
"/Users/rainchen/CodingSpace/Pineapple/README.md", "Markdown", 0, 2, 0, 2, 4
"Total", "-", 614, 2, 99, 71, 786
